name,online_order,book_table,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),rating,cost_for_two
Jalsa,Yes,Yes,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",Buffet,Banashankari,4.1,800.0
Spice Elephant,Yes,No,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",Buffet,Banashankari,4.1,800.0
San Churro Cafe,Yes,No,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Buffet,Banashankari,3.8,800.0
Addhuri Udupi Bhojana,No,No,88,Banashankari,Quick Bites,"South Indian, North Indian",Buffet,Banashankari,3.7,300.0
Grand Village,No,No,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",Buffet,Banashankari,3.8,600.0
Timepass Dinner,Yes,No,286,Basavanagudi,Casual Dining,North Indian,Buffet,Banashankari,3.8,600.0
Rosewood International Hotel - Bar & Restaurant,No,No,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",Buffet,Banashankari,3.6,800.0
Onesta,Yes,Yes,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",Cafes,Banashankari,4.6,600.0
Penthouse Cafe,Yes,No,324,Banashankari,Cafe,"Cafe, Italian, Continental",Cafes,Banashankari,4.0,700.0
Smacznego,Yes,No,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",Cafes,Banashankari,4.2,550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,402,Banashankari,Cafe,Cafe,Cafes,Banashankari,4.1,500.0
Cafe Shuffle,Yes,Yes,150,Banashankari,Cafe,"Cafe, Italian, Continental",Cafes,Banashankari,4.2,600.0
The Coffee Shack,Yes,Yes,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Cafes,Banashankari,4.2,500.0
Caf-Eleven,No,No,424,Banashankari,Cafe,"Cafe, Continental",Cafes,Banashankari,4.0,450.0
San Churro Cafe,Yes,No,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Cafes,Banashankari,3.8,800.0
Cafe Vivacity,Yes,No,90,Banashankari,Cafe,Cafe,Cafes,Banashankari,3.8,650.0
Catch-up-ino,Yes,No,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",Cafes,Banashankari,3.9,800.0
Kirthi's Biryani,Yes,No,144,Banashankari,Cafe,"Chinese, Cafe, Italian",Cafes,Banashankari,3.8,700.0
T3H Cafe,No,No,93,Banashankari,Cafe,"Cafe, Italian, American",Cafes,Banashankari,3.9,300.0
360 Atoms Restaurant And Cafe,Yes,No,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Cafes,Banashankari,3.1,400.0
The Vintage Cafe,Yes,No,62,Banashankari,Cafe,"Cafe, French, North Indian",Cafes,Banashankari,3.0,400.0
Woodee Pizza,Yes,No,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",Cafes,Banashankari,3.7,500.0
Cafe Coffee Day,No,No,28,Banashankari,Cafe,"Cafe, Fast Food",Cafes,Banashankari,3.6,900.0
My Tea House,Yes,No,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",Cafes,Banashankari,3.6,600.0
Hide Out Cafe,No,No,31,Banashankari,Cafe,Cafe,Cafes,Banashankari,3.7,300.0
CAFE NOVA,No,No,11,Banashankari,Cafe,"Cafe, Bakery",Cafes,Banashankari,3.2,600.0
Coffee Tindi,Yes,No,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",Cafes,Banashankari,3.8,200.0
Sea Green Cafe,No,No,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",Cafes,Banashankari,3.3,500.0
Cuppa,No,No,23,Banashankari,Cafe,"Cafe, Fast Food",Cafes,Banashankari,3.3,550.0
Srinathji's Cafe,No,No,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",Cafes,Banashankari,3.8,550.0
Redberrys,Yes,No,219,Basavanagudi,Cafe,"Cafe, Italian",Cafes,Banashankari,4.0,600.0
Foodiction,Yes,No,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",Delivery,Banashankari,2.8,500.0
Sweet Truth,Yes,No,35,Banashankari,Delivery,"Bakery, Desserts",Delivery,Banashankari,3.9,500.0
Ovenstory Pizza,Yes,No,172,Banashankari,Delivery,Pizza,Delivery,Banashankari,3.9,750.0
Faasos,Yes,No,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",Delivery,Banashankari,4.2,500.0
Behrouz Biryani,Yes,No,230,Banashankari,Delivery,Biryani,Delivery,Banashankari,3.9,650.0
Fast And Fresh,Yes,No,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",Delivery,Banashankari,2.8,400.0
Szechuan Dragon,Yes,No,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",Delivery,Banashankari,4.2,600.0
Empire Restaurant,Yes,No,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",Delivery,Banashankari,4.4,750.0
Maruthi Davangere Benne Dosa,Yes,No,17,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,4.0,150.0
Chaatimes,Yes,No,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",Delivery,Banashankari,3.8,200.0
Havyaka Mess,No,No,28,Banashankari,Mess,South Indian,Delivery,Banashankari,3.9,300.0
McDonald's,Yes,No,286,Banashankari,Quick Bites,"Burger, Fast Food",Delivery,Banashankari,3.9,500.0
Domino's Pizza,Yes,No,540,Banashankari,Quick Bites,"Pizza, Fast Food",Delivery,Banashankari,3.9,800.0
Onesta,Yes,Yes,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",Delivery,Banashankari,4.6,600.0
Hotboxit,No,No,36,Banashankari,Delivery,"North Indian, Continental, Italian",Delivery,Banashankari,3.8,400.0
Kitchen Garden,Yes,No,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,3.6,300.0
Recipe,Yes,No,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",Delivery,Banashankari,4.0,450.0
Beijing Bites,Yes,No,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",Delivery,Banashankari,3.7,850.0
Tasty Bytes,Yes,No,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",Delivery,Banashankari,3.1,300.0
Petoo,No,No,21,Banashankari,Quick Bites,North Indian,Delivery,Banashankari,3.7,450.0
Shree Cool Point,Yes,No,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",Delivery,Banashankari,4.1,150.0
Corner House Ice Cream,No,No,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",Delivery,Banashankari,4.3,400.0
Biryanis And More,Yes,No,618,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",Delivery,Banashankari,4.0,750.0
Roving Feast,No,No,1047,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",Delivery,Banashankari,4.0,450.0
FreshMenu,Yes,No,627,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,Banashankari,3.9,450.0
Banashankari Donne Biriyani,Yes,No,104,Banashankari,Quick Bites,"Biryani, Fast Food",Delivery,Banashankari,3.8,300.0
Wamama,Yes,Yes,354,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",Delivery,Banashankari,4.2,800.0
Five Star Chicken,No,No,55,Banashankari,Quick Bites,"Fast Food, Burger",Delivery,Banashankari,3.6,200.0
XO Belgian Waffle,Yes,No,17,Banashankari,Dessert Parlor,"Desserts, Beverages",Delivery,Banashankari,3.7,400.0
Peppy Peppers,No,No,244,Banashankari,Casual Dining,"Italian, North Indian, Mexican",Delivery,Banashankari,4.2,800.0
Goa 0 Km,Yes,Yes,163,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",Delivery,Banashankari,3.6,800.0
Chinese Kitchen,Yes,No,58,Basavanagudi,Quick Bites,Chinese,Delivery,Banashankari,3.8,150.0
1947,No,Yes,808,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,4.0,850.0
Cake of the Day,No,No,78,Banashankari,"Bakery, Dessert Parlor",Bakery,Delivery,Banashankari,3.7,150.0
Kabab Magic,Yes,No,1720,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",Delivery,Banashankari,4.1,400.0
Namma Brahmin's Idli,Yes,No,34,Jayanagar,Quick Bites,South Indian,Delivery,Banashankari,3.6,100.0
Gustoes Beer House,No,No,868,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",Delivery,Banashankari,4.1,1200.0
Sugar Rush,No,No,39,Banashankari,Bakery,"Bakery, Desserts",Delivery,Banashankari,3.8,300.0
Burger King,Yes,No,71,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",Delivery,Banashankari,3.2,600.0
The Good Bowl,Yes,No,6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",Delivery,Banashankari,3.6,500.0
The Biryani Cafe,No,No,520,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",Delivery,Banashankari,4.1,300.0
LSD Cafe,No,No,84,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",Delivery,Banashankari,2.9,700.0
Rolls On Wheels,No,No,299,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",Delivery,Banashankari,3.6,300.0
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,558,Basavanagudi,Quick Bites,South Indian,Delivery,Banashankari,4.1,150.0
Devanna Dum Biriyani Centre,Yes,No,28,Banashankari,Quick Bites,"Biryani, South Indian",Delivery,Banashankari,3.6,300.0
Kolbeh,No,No,22,Banashankari,Quick Bites,Fast Food,Delivery,Banashankari,3.7,500.0
Upahar Sagar,No,No,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",Delivery,Banashankari,3.8,350.0
Kadalu Sea Food Restaurant,Yes,No,153,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",Delivery,Banashankari,3.8,500.0
Frozen Bottle,Yes,No,146,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",Delivery,Banashankari,4.2,400.0
Parimala Sweets,No,No,14,Banashankari,Sweet Shop,"Mithai, Street Food",Delivery,Banashankari,3.5,200.0
Vaishali Deluxe,No,No,42,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,3.8,700.0
The Big O Bakes,No,No,66,Banashankari,Bakery,"Bakery, Desserts",Delivery,Banashankari,4.0,300.0
Meghana Foods,Yes,No,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",Delivery,Banashankari,4.4,600.0
Krishna Sagar,No,No,31,Banashankari,Quick Bites,North Indian,Delivery,Banashankari,3.5,200.0
Dessert Rose,No,No,7,Banashankari,Dessert Parlor,Desserts,Delivery,Banashankari,3.5,500.0
Chickpet Donne Biryani House,No,No,21,Banashankari,Quick Bites,Biryani,Delivery,Banashankari,3.7,250.0
Thanco's Natural Ice Creams,No,No,9,Banashankari,Dessert Parlor,Ice Cream,Delivery,Banashankari,3.2,300.0
Nandhini Deluxe,No,No,283,Banashankari,Casual Dining,North Indian,Delivery,Banashankari,2.6,600.0
Vi Ra's Bar and Restaurant,No,No,62,Banashankari,Bar,"South Indian, North Indian, Chinese",Delivery,Banashankari,3.3,800.0
Kaggis,No,No,64,Banashankari,Quick Bites,"Fast Food, Bakery",Delivery,Banashankari,3.8,250.0
Ayda Persian Kitchen,No,No,39,Banashankari,Casual Dining,"North Indian, Iranian",Delivery,Banashankari,3.7,950.0
Chatar Patar,No,No,65,Banashankari,Quick Bites,"Fast Food, Street Food",Delivery,Banashankari,3.7,300.0
Polar Bear,Yes,No,71,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",Delivery,Banashankari,3.8,400.0
Kidambi's Kitchen,No,No,52,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,3.5,300.0
Mane Thindi,No,No,130,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,3.7,200.0
Kotian Karavali Restaurant,No,No,10,Banashankari,Quick Bites,"South Indian, Biryani",Delivery,Banashankari,3.5,300.0
Floured-Baked With Love,No,No,45,Banashankari,"Takeaway, Delivery",Bakery,Delivery,Banashankari,3.8,400.0
CAFE NOVA,No,No,11,Banashankari,Cafe,"Cafe, Bakery",Delivery,Banashankari,3.2,600.0
Cakes & Slices,No,No,13,Banashankari,Bakery,"Bakery, Desserts",Delivery,Banashankari,3.5,300.0
Spice 9,No,No,8,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",Delivery,Banashankari,3.4,300.0
Naveen Kabab & Biriyani Mane,No,No,9,Banashankari,Quick Bites,Biryani,Delivery,Banashankari,3.2,300.0
Katriguppe Donne Biryani,No,No,4,Banashankari,Quick Bites,North Indian,Delivery,Banashankari,3.2,300.0
Atithi Point Ande Ka Funda,No,No,29,Banashankari,Quick Bites,North Indian,Delivery,Banashankari,3.1,150.0
Just Bake,No,No,8,Banashankari,Bakery,"Bakery, Desserts",Delivery,Banashankari,3.4,400.0
K27 - The Pub,No,No,30,Banashankari,Bar,"Chinese, North Indian",Delivery,Banashankari,3.1,1000.0
Bengaluru Coffee House,Yes,No,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,4.1,300.0
New Mangalore Lunch Home,No,No,7,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",Delivery,Banashankari,3.3,200.0
Coffee Bytes,No,No,6,Banashankari,Quick Bites,"Fast Food, South Indian",Delivery,Banashankari,3.1,100.0
Parjanya Chat Zone,No,No,17,Banashankari,Quick Bites,"Street Food, Fast Food",Delivery,Banashankari,3.3,200.0
Kwality Wall's Swirl's Happiness Station,No,No,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",Delivery,Banashankari,2.9,200.0
Ruchi Maayaka,No,No,8,Banashankari,Delivery,South Indian,Delivery,Banashankari,3.3,100.0
Anna Kuteera,Yes,No,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",Delivery,Banashankari,4.0,450.0
Darbar,No,No,98,Banashankari,Bar,"North Indian, Chinese",Delivery,Banashankari,3.0,800.0
Vijayalakshmi,Yes,No,47,Basavanagudi,Quick Bites,South Indian,Delivery,Banashankari,3.9,200.0
Sri Udupi Food Hub,Yes,Yes,175,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",Delivery,Banashankari,4.1,500.0
Udupi Upahar,Yes,No,58,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",Delivery,Banashankari,3.8,300.0
House Of Kebabs,Yes,No,540,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",Delivery,Banashankari,3.8,650.0
Roll N Rock,Yes,No,124,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",Delivery,Banashankari,3.8,400.0
BOX8- Desi Meals,Yes,No,340,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",Delivery,Banashankari,4.1,500.0
KFC,Yes,No,505,Banashankari,Quick Bites,"Burger, Fast Food",Delivery,Banashankari,3.8,450.0
Roll Over,Yes,No,438,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",Delivery,Banashankari,4.1,500.0
Imperial Restaurant,Yes,No,264,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",Delivery,Banashankari,3.7,750.0
Lassi Shop,Yes,No,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",Delivery,Banashankari,3.9,150.0
The Fortuna,Yes,No,67,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,3.0,250.0
Wahab,Yes,No,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",Delivery,Banashankari,3.7,350.0
Al Diwan Biryanis And More,Yes,No,12,Basavanagudi,"Takeaway, Delivery",Biryani,Delivery,Banashankari,3.3,300.0
New Gowda's Fried Chicken,Yes,No,12,Banashankari,Quick Bites,Biryani,Delivery,Banashankari,3.3,300.0
Canton,Yes,No,195,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",Delivery,Banashankari,3.6,800.0
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,13,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",Delivery,Banashankari,3.3,300.0
The Blue Wagon - Kitchen,Yes,No,228,Jayanagar,Cafe,"Cafe, Beverages",Delivery,Banashankari,4.6,400.0
HOT COFFEE,Yes,No,70,Basavanagudi,Quick Bites,"South Indian, Chinese",Delivery,Banashankari,4.1,150.0
Patio 805,Yes,Yes,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",Delivery,Banashankari,4.1,1200.0
Lassi Corner,Yes,No,107,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",Delivery,Banashankari,3.7,150.0
Sagar Deluxe,Yes,No,167,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",Delivery,Banashankari,3.2,300.0
Kanti Sweets,Yes,No,115,Banashankari,Sweet Shop,"Mithai, Street Food",Delivery,Banashankari,4.0,400.0
Vegetalia,Yes,No,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",Delivery,Banashankari,3.7,400.0
Aramane Donne Biryani,Yes,No,57,Banashankari,Quick Bites,Biryani,Delivery,Banashankari,3.5,200.0
Ande Ka Funda,Yes,No,120,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",Delivery,Banashankari,3.8,250.0
Cake Ghar,Yes,No,15,Basavanagudi,Bakery,Bakery,Delivery,Banashankari,3.8,400.0
Energy Addaa,Yes,No,64,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",Delivery,Banashankari,4.2,500.0
Bhattara Bhojana,Yes,No,66,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,3.6,150.0
Tandoori Knight,Yes,No,290,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",Delivery,Banashankari,3.0,450.0
Dev Sagar - Food Street,Yes,No,233,Basavanagudi,Quick Bites,Street Food,Delivery,Banashankari,4.1,200.0
Mitraa Da Pizza,Yes,No,115,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",Delivery,Banashankari,3.8,250.0
Paradise Premium,Yes,No,119,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",Delivery,Banashankari,3.1,700.0
Grazers,Yes,Yes,291,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",Delivery,Banashankari,3.9,650.0
Shakes Theory,Yes,No,155,Jayanagar,Beverage Shop,"Beverages, Sandwich",Delivery,Banashankari,4.5,300.0
@Italy,Yes,No,305,Kumaraswamy Layout,Casual Dining,Italian,Delivery,Banashankari,4.1,700.0
Chilli Flakes,Yes,No,46,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",Delivery,Banashankari,3.6,500.0
Calcutta Cafe,Yes,No,45,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",Delivery,Banashankari,3.5,350.0
Old Mumbai Ice Cream,Yes,No,38,Banashankari,Dessert Parlor,Ice Cream,Delivery,Banashankari,3.9,150.0
Donne Biriyani House,Yes,No,441,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",Delivery,Banashankari,3.9,400.0
By 2 Coffee,Yes,No,25,Basavanagudi,Quick Bites,South Indian,Delivery,Banashankari,3.9,100.0
Kedia's Fun Food,Yes,No,630,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",Delivery,Banashankari,4.3,200.0
Davangere Butter Dosa Hotel,Yes,No,25,Kumaraswamy Layout,Quick Bites,South Indian,Delivery,Banashankari,3.8,150.0
Just Shawarma,Yes,No,160,Kumaraswamy Layout,Quick Bites,Arabian,Delivery,Banashankari,3.9,300.0
Mini Punjabi Dhaba,Yes,No,287,Banashankari,Quick Bites,North Indian,Delivery,Banashankari,4.2,350.0
Mulabagilu Dosa,Yes,No,11,Basavanagudi,Quick Bites,South Indian,Delivery,Banashankari,3.6,100.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,402,Banashankari,Cafe,Cafe,Delivery,Banashankari,4.1,500.0
Gokul Veg,Yes,No,469,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",Delivery,Banashankari,3.8,750.0
Olive - Era,Yes,No,511,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",Delivery,Banashankari,3.3,550.0
Udupi Ruchi,Yes,No,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,3.9,200.0
Madhappa Hindu Military Hotel,Yes,No,14,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,3.4,300.0
Gama Gama,Yes,No,264,Banashankari,Quick Bites,South Indian,Delivery,Banashankari,3.9,200.0
The Vintage Cafe,Yes,No,62,Banashankari,Cafe,"Cafe, French, North Indian",Delivery,Banashankari,3.0,400.0
Pizza Hut,Yes,No,693,Banashankari,Casual Dining,"Pizza, Fast Food",Delivery,Banashankari,3.8,750.0
Mangalore Pearl,Yes,No,242,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",Delivery,Banashankari,3.8,650.0
Asha Sweets Centre,Yes,No,27,Basavanagudi,Dessert Parlor,Fast Food,Delivery,Banashankari,3.6,250.0
Twiststick House,Yes,No,163,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",Delivery,Banashankari,4.1,500.0
Cool Corner,Yes,No,191,Basavanagudi,Quick Bites,"Street Food, Fast Food",Delivery,Banashankari,4.2,250.0
Pizza Mane,Yes,No,32,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",Delivery,Banashankari,3.5,150.0
Dal Tadkaa,Yes,No,247,Banashankari,Casual Dining,North Indian,Delivery,Banashankari,2.5,500.0
Chutney Chang,Yes,Yes,2339,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",Delivery,Banashankari,4.1,1500.0
Mystique Palate,Yes,No,337,Jayanagar,Quick Bites,"Chinese, Fast Food",Delivery,Banashankari,4.1,300.0
Thamboola,Yes,No,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",Delivery,Banashankari,3.9,800.0
Castle Rock,Yes,No,172,Uttarahalli,Casual Dining,"North Indian, Chinese",Delivery,Banashankari,3.6,700.0
Vietnamese Kitchen,Yes,No,105,Banashankari,Casual Dining,Vietnamese,Delivery,Banashankari,3.6,700.0
Smacznego,Yes,No,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",Delivery,Banashankari,4.2,550.0
C Corner,Yes,No,36,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",Delivery,Banashankari,3.2,200.0
Paratha Merchant,Yes,No,39,Kumaraswamy Layout,Quick Bites,North Indian,Delivery,Banashankari,3.1,300.0
North Rasoe,Yes,No,5,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",Delivery,Banashankari,3.1,500.0
Toscano,Yes,Yes,1129,Jayanagar,Casual Dining,"Italian, Salad",Delivery,Banashankari,4.3,1300.0
Lord Of The Kitchen,Yes,No,56,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,3.9,350.0
Stoned Monkey,Yes,No,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",Delivery,Banashankari,4.3,500.0
Central Jail Restaurant,Yes,No,412,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",Delivery,Banashankari,3.8,700.0
Bella,Yes,Yes,142,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",Delivery,Banashankari,3.9,1000.0
Vennela Andhra Meals,Yes,No,23,Jayanagar,Quick Bites,Andhra,Delivery,Banashankari,3.0,400.0
New Prashanth Hotel,Yes,No,143,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",Delivery,Banashankari,3.6,750.0
The Grillo,Yes,Yes,80,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",Delivery,Banashankari,2.8,500.0
Re Malnad Nati Style Hotel,Yes,No,16,JP Nagar,Casual Dining,South Indian,Delivery,Banashankari,3.6,400.0
Karma Kaapi,Yes,No,181,Jayanagar,Beverage Shop,"Beverages, Tea",Delivery,Banashankari,4.4,250.0
Tiwari's,Yes,No,70,Jayanagar,Quick Bites,"North Indian, Street Food",Delivery,Banashankari,3.8,200.0
Pizza Stop,Yes,No,164,Basavanagudi,Quick Bites,"Pizza, Italian",Delivery,Banashankari,3.8,600.0
Biggies Burger 'n' More,Yes,No,58,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",Delivery,Banashankari,3.6,650.0
Srinathji's Cafe,No,No,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",Delivery,Banashankari,3.8,550.0
Kollapuri's,No,No,206,Basavanagudi,Quick Bites,"South Indian, Mangalorean",Delivery,Banashankari,3.9,450.0
Kadamba Classic,No,No,16,Mysore Road,Quick Bites,South Indian,Delivery,Banashankari,3.6,300.0
RS Shiv Sagar,No,No,217,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",Delivery,Banashankari,3.7,450.0
Kholi Mane,No,No,46,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",Delivery,Banashankari,3.6,450.0
Harshi Super Sandwich,No,No,148,Basavanagudi,Quick Bites,"Fast Food, Street Food",Delivery,Banashankari,3.8,150.0
Cake Yard,No,No,30,Basavanagudi,Dessert Parlor,Desserts,Delivery,Banashankari,3.4,250.0
Rosewood International Hotel - Bar & Restaurant,No,No,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",Delivery,Banashankari,3.6,800.0
Sri Udupi Veg,No,No,4,Jayanagar,Quick Bites,South Indian,Delivery,Banashankari,3.3,250.0
Cake Art,No,No,15,Basavanagudi,"Bakery, Quick Bites",Bakery,Delivery,Banashankari,3.5,400.0
Potato House,Yes,No,9,Uttarahalli,Quick Bites,Street Food,Delivery,Banashankari,3.4,200.0
Matru Sagar,Yes,No,31,Mysore Road,Quick Bites,"South Indian, North Indian",Delivery,Banashankari,3.7,300.0
Ugadi,Yes,No,177,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",Delivery,Banashankari,2.9,700.0
Sri Krishna Sweets,Yes,No,22,Basavanagudi,Sweet Shop,"Mithai, Desserts",Delivery,Banashankari,3.7,250.0
In Time Cane Juice,Yes,No,10,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",Delivery,Banashankari,3.5,100.0
Subway,Yes,No,136,Banashankari,Quick Bites,"Salad, Fast Food",Delivery,Banashankari,3.7,600.0
Daal Roti,Yes,No,35,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,Banashankari,2.9,250.0
The Lassi Park,Yes,No,185,Jayanagar,Quick Bites,"Juices, Desserts",Delivery,Banashankari,4.1,200.0
Cafe Coffee Day,Yes,No,17,Jayanagar,Cafe,"Cafe, Fast Food",Delivery,Banashankari,3.2,900.0
A2B - Adyar Ananda Bhavan,Yes,No,155,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",Delivery,Banashankari,3.8,400.0
Srikrishna Bhavan,Yes,No,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",Delivery,Banashankari,3.8,300.0
